id,name,name_en,birth_year,death_year,era,region,gender,occupation,major_achievement,historical_significance,famous_quote,personality_trait,fun_fact,modern_comparison,if_alive_today,recommended_for,trivia_level,catchphrase,hint1,hint2,hint3
41,芥川龍之介,Akutagawa Ryunosuke,1892,1927,大正〜昭和,日本,男性,小説家,「羅生門」「鼻」など短編の名手,大正文壇の鬼才,「人生は一箱のマッチに似ている」,神経質、完璧主義,「ぼんやりした不安」で自殺。芥川賞の名前の由来,繊細な天才作家,小説家、文芸批評家,文学好き・繊細な人・完璧主義,78,「完璧を求めすぎて病む」,大正デモクラシーの光と影を鋭敏に捉え、世紀末的な厭世観を漂わせた文豪。古典に材をとりながら、近代人の苦悩を描き出した。,短編小説の名手として知られ、人間のエゴイズムや欺瞞をあぶり出す作品を多く残した。晩年は創作の枯渇に苦しみ、自らの内面を深く掘り下げた。,『羅生門』や『鼻』などの作品で、人間の本質を鋭く描き出した小説家。後世に多大な影響を与え、その名を冠した文学賞がある。
42,太宰治,Dazai Osamu,1909,1948,昭和,日本,男性,小説家,「人間失格」「斜陽」を執筆,破滅型の天才作家,「生まれてすみません」,自虐的、ロマンチスト,自殺未遂5回、最後は入水自殺。女性にモテた,メンヘラ系文豪,小説家、病み系インフルエンサー,文学好き・繊細な人・自虐的,80,「生きづらさを文学に」,退廃と希望が交錯する時代、虚無を抱えながらもペンを執り続けた、桜桃忌に偲ばれる作家。,戦後の日本文学に大きな足跡を残し、「人間失格」や「斜陽」といった自伝的要素の強い作品で知られる。,青森県出身、破滅的な生き様と繊細な文体で、没後も多くの読者を魅了し続ける昭和の小説家。
43,川端康成,Kawabata Yasunari,1899,1972,昭和,日本,男性,小説家,「雪国」「伊豆の踊子」を執筆,日本人初のノーベル文学賞受賞,「美しい日本の私」,繊細、美意識高い,孤独な幼少期。ガス自殺で生涯を閉じた,日本美を追求する作家,小説家、日本文化の発信者,文学好き・日本文化好き・美意識高い,77,「日本の美を世界に」,戦後の日本文学に、繊細な美意識と叙情的な風景を織り込んだ。,ノーベル文学賞を受賞した、代表作に雪景色が印象的な小説を持つ。,「雪国」や「伊豆の踊子」で知られる、昭和を代表する小説家。
44,三島由紀夫,Mishima Yukio,1925,1970,昭和,日本,男性,小説家,「金閣寺」「仮面の告白」を執筆,自衛隊市ヶ谷駐屯地で割腹自殺,「美しく死ぬ」,ナルシスト、行動派,ボディビルで鍛えた肉体。衝撃的な死に方で世界的ニュースに,過激な行動派作家,小説家兼パフォーマー、炎上系,文学好き・筋トレ好き・過激派,79,「美しく生きて美しく死ぬ」,滅びの美学に憑りつかれたかのような、絢爛たる昭和の文豪。その生と死は、まるで舞台のよう。,言葉を武器に、肉体を鍛え、日本の精神の高揚を訴えた作家。晩年は衝撃的な事件を起こした。,代表作は、美しき寺を舞台にした業火の物語や、自伝的要素を含む告白小説。ノーベル文学賞候補にもなった。
45,宮沢賢治,Miyazawa Kenji,1896,1933,大正〜昭和,日本,男性,詩人・童話作家,「銀河鉄道の夜」「雨ニモマケズ」,生前は無名、死後に評価された,「世界がぜんたい幸福にならないうちは」,理想主義、菜食主義者,教師をしながら創作。生前はほぼ無名だった,理想主義的クリエイター,詩人、エシカル系インフルエンサー,文学好き・理想主義・優しい人,76,「みんなの幸せが自分の幸せ」,岩手の地に根ざし、宇宙の神秘に心を馳せた、農民芸術の旗手。,心象スケッチと科学的視点が織りなす、独特な言葉で物語を紡いだ。,夜空を駆ける列車と、不朽の祈りの言葉を残した詩人・童話作家。
46,与謝野晶子,Yosano Akiko,1878,1942,明治〜昭和,日本,女性,歌人,「みだれ髪」で情熱的な短歌,女性の自由な恋愛を歌った先駆者,「やは肌のあつき血汐にふれも見で」,情熱的、フェミニスト,11人の子供を産みながら創作活動を続けた,恋愛系の先駆的女性作家,歌人、フェミニズム系インフルエンサー,文学好き・恋愛好き・フェミニスト,72,「女性だって恋愛を歌う」,明治の世に、情熱を歌に託し、女性の心の叫びを解放した炎。,恋、生命、社会への眼差し…短歌を通して、奔放な愛と革新的な思想を表現した歌人。,「みだれ髪」で知られる、情熱的な歌風を確立し、女性解放運動にも貢献した歌人。
47,湯川秀樹,Yukawa Hideki,1907,1981,昭和,日本,男性,理論物理学者,中間子理論でノーベル賞,日本人初のノーベル賞受賞者,「科学の進歩に終わりはない」,謙虚、理論派,読書家で哲学も深く学んだ,理論派の科学者,物理学者、科学コミュニケーター,理系・哲学好き・謙虚な人,74,「日本人でもノーベル賞取れる」,原子の奥底を覗き込み、目に見えぬ粒子の橋渡しを夢見た。東洋の知性が、世界の物理学に新風を吹き込んだ時代。,素粒子論のパイオニア。ある粒子の存在を予言し、日本人初のノーベル物理学賞を受賞した。,原子核をまとめる「のり」の役割を果たす粒子、中間子理論を提唱した理論物理学者。
48,黒澤明,Kurosawa Akira,1910,1998,昭和〜平成,日本,男性,映画監督,「七人の侍」「羅生門」を監督,世界のクロサワと称された,「映画は総合芸術」,完璧主義、独裁的,雨のシーンへのこだわりがすごい。スピルバーグに影響,世界的映画監督,映画監督、世界的クリエイター,映画好き・完璧主義・芸術好き,81,「妥協なき完璧主義」,戦後の日本映画界に現れた、世界の映像表現に多大な影響を与えたサムライ。,時代劇から現代劇まで、社会の矛盾を鋭く描き出した、国際的に評価される映像作家。,農民のために刀を取る七人の侍を描いた作品や、藪の中で起こった事件を多角的に描いた作品で知られる。
49,松尾芭蕉,Matsuo Basho,1644,1694,江戸時代,日本,男性,俳人,「奥の細道」で俳句を芸術に,俳句を文学の域に高めた,「古池や蛙飛び込む水の音」,孤独好き、旅人,全国を旅しながら俳句を詠んだ。忍者説もある,旅する詩人,トラベルライター、俳句系インフルエンサー,旅好き・文学好き・ミニマリスト,73,「旅に生き、旅に死す」,月日は百代の過客。旅こそが人生、一句に魂を込めた風流人。道中、草鞋の底が磨り減るほどに。,言葉を紡ぎ、自然を愛でる。短い詩で情景を描き、旅日記を綴った江戸時代の文人。,『奥の細道』で知られる俳人。五七五のリズムで、日本の風景を世界に伝えた。
50,近藤勇,Kondo Isami,1834,1868,幕末,日本,男性,武士,新選組局長,幕末の京都で尊王攘夷派を取り締まった,「誠の旗のもとに」,義理堅い、武骨,農民出身だが剣の腕で局長に。最後は処刑された,忠義の武士,武道家、体育会系YouTuber,歴史好き・武道好き・義理堅い,75,「不器用だけど真っ直ぐ」,武士の魂を胸に、時代の荒波を駆け抜けた、誠の旗を掲げた男。,京都の治安を守るため、剣を振るった組織の長。その名は、時に恐れられ、時に敬われた。,新選組を率い、池田屋事件で名を馳せた、幕末の動乱を象徴する人物。
51,カエサル,Julius Caesar,-100,-44,古代,ローマ,男性,軍人・政治家,ローマ帝国の基礎を築いた,「賽は投げられた」で有名,「来た、見た、勝った」,野心家、カリスマ,ハゲを気にしていた。暗殺される運命,古代のカリスマ経営者,政治家、軍事戦略家,歴史好き・政治好き・野心家,86,「行動あるのみ」,賽は投げられた。ルビコン川を渡る覚悟はありますか？栄光への道は、常に茨で覆われている。,ガリアを制し、元老院を揺るがした。その手腕は、剣とペンで大陸を塗り替えた。,「ブルータス、お前もか…」という言葉を残したとされる、ローマの英雄であり悲劇の人物。
52,アレクサンドロス大王,Alexander the Great,-356,-323,古代,マケドニア,男性,軍事指導者,32歳で大帝国を築いた,東西文化の交流を促進,「不可能なことなどない」,野心的、若々しい,酒の飲み過ぎで若くして死亡した説,若き征服者,起業家、急成長スタートアップCEO,野心家・若者・グローバル志向,78,「若さで世界を取る」,オリュンポスの雷鳴を受け継ぎ、若き獅子は世界の果てを目指した。その足跡は、文明の交差点となった。,不屈の闘志で軍を率い、東方遠征を成功させた。彼の戦略は、今もなお軍事学の教科書に名を残す。,わずか32歳で巨大な帝国を築き、ヘレニズム文化を広めた。彼の名は、伝説の征服者として語り継がれている。
53,ソクラテス,Socrates,-470,-399,古代,ギリシャ,男性,哲学者,問答法で真理を追求,西洋哲学の祖,「無知の知」,皮肉屋、質問魔,妻が悪妻で有名。毒杯を飲まされて死刑,哲学的な思考の達人,哲学系YouTuber、教育者,哲学好き・質問好き・思考好き,80,「とりあえず疑ってみる」,無知の知を自覚し、街角で対話を重ねた。魂の世話を焼き、人々を目覚めさせた。,アテナイの市場で、人々に「汝自身を知れ」と問い続けた人物。弁論術に長け、真理探究のために議論を好んだ。,「吟味されざる生は生きるに値しない」という言葉を残した。問答法（産婆術）を用いて人々の無知を自覚させ、哲学の基礎を築いた。
54,プラトン,Plato,-428,-348,古代,ギリシャ,男性,哲学者,イデア論を提唱,ソクラテスの弟子、アカデメイアを創設,「哲学とは死の練習」,理想主義、貴族的,本名ではなくあだ名。レスリングが得意だった,理想主義的思想家,哲学者、大学教授,哲学好き・理想主義・教育好き,75,「理想を追い求める」,洞窟の壁に映る影、それが真実だと信じますか？彼は、もっと眩い光の世界を夢見た。,彼は、対話を通して真理を探求し、理想国家のあり方を思索し続けた、古代ギリシアの知識人。,「イデア」という概念を提唱し、西洋哲学の基礎を築いた、ソクラテスの弟子として知られる人物。
55,アリストテレス,Aristotle,-384,-322,古代,ギリシャ,男性,哲学者,万学の祖,プラトンの弟子、アレクサンドロスの家庭教師,「人間は社会的動物である」,論理的、百科事典的,あらゆる分野を研究した万能学者,論理的思考の達人,研究者、マルチな専門家,哲学好き・論理的・研究好き,77,「とにかく全部研究する」,プラトンのアカデメイアに学び、アレクサンドロス大王の師となり、宇宙、倫理、政治を考察した古代の知の巨人は誰？,観察と分類を重んじ、論理学の基礎を築き、あらゆる学問の源流と称される哲学者。,『ニコマコス倫理学』や『政治学』を著し、万学の祖と呼ばれた古代ギリシアの哲学者。
56,孔子,Confucius,-551,-479,古代,中国,男性,思想家,儒教の創始者,東アジアの道徳観に2000年以上影響,「己の欲せざるところ、人に施すことなかれ」,礼儀正しい、教育者,弟子3000人を教育。魯の国で政治も行った,道徳の先生,教育系インフルエンサー、モラル系YouTuber,教育好き・道徳好き・伝統好き,82,「礼儀が全ての基本」,礼楽の音が乱れ、人々が道に迷う時代に、古の知恵を灯し、秩序を求める灯台となった。,仁と義を説き、人の道を照らす。その教えは、為政者の鏡となり、人々の心の羅針盤となった。,五経を編纂し、儒教の祖と呼ばれる。道徳と秩序を重んじるその思想は、東アジアに深く根付いた。
57,釈迦,Buddha,-563,-483,古代,インド,男性,宗教家,仏教の開祖,苦しみからの解放を説いた,「苦しみの原因は執着である」,悟りを開いた、穏やか,王子だったが出家して悟りを開いた,精神性を追求する指導者,マインドフルネス系インフルエンサー、僧侶,哲学好き・精神世界好き・ミニマリスト,79,「執着を手放せば楽になる」,生老病死の苦しみから人々を救済するため、彼は富と名声を手放し、真理の探求に身を捧げた。,瞑想を通じて悟りを開き、人々に苦からの解放を説いた古代インドの宗教家。,仏教の開祖であり、八正道などの教えを説いた人物。
58,イエス・キリスト,Jesus Christ,-4,30,古代,パレスチナ,男性,宗教家,キリスト教の創始者,愛と許しを説き十字架にかけられた,「汝の敵を愛せよ」,博愛主義、革命的,大工の息子。33歳で処刑された,究極の博愛主義者,宗教家、平和活動家,宗教好き・平和主義・博愛的,88,「愛がすべて」,愛と赦しを説き、人々の心を照らした光。その教えは、やがて世界を大きく変える潮流となる。,ガリラヤの地で生まれ、神の言葉を伝え歩いた預言者。多くの奇跡を起こし、弟子たちを導いた。,キリスト教の創始者。磔刑に処された後、復活したと信じられている。
59,ムハンマド,Muhammad,570,632,中世,アラビア,男性,宗教家,イスラム教の創始者,コーランを啓示され一神教を広めた,「知識を求めることは義務」,禁欲的、リーダーシップ,商人から預言者に。メッカを征服した,宗教的指導者,宗教指導者、社会改革者,宗教好き・歴史好き・リーダーシップ,81,「学び続けることが大切」,砂漠の民に神の啓示を伝え、東西を結ぶ新たな道を示した。,天使ガブリエルの声を聞き、唯一神アッラーへの信仰を説いた預言者。,イスラム教の創始者であり、聖典コーランを通して神の言葉を伝えた。
60,マルコ・ポーロ,Marco Polo,1254,1324,中世,イタリア,男性,探検家,「東方見聞録」を著した,ヨーロッパにアジアを紹介,「世界は広い」,冒険好き、好奇心旺盛,中国に17年滞在。一部は誇張という説も,冒険系トラベラー,トラベルYouTuber、冒険家,旅好き・冒険好き・好奇心旺盛,72,「世界を見に行こう」,シルクロードの夢を見たヴェネツィア商人。東方の神秘と富をヨーロッパに伝えた。,13世紀、アジアを旅し、その体験を本に著した探検家。宮廷にも仕えた。,元朝のフビライ・ハンに仕え、見聞録を著した中世のイタリア人。
61,ジャンヌ・ダルク,Joan of Arc,1412,1431,中世,フランス,女性,軍人,百年戦争でフランスを救った,神の啓示を受けたと主張し戦った少女,「神が私に命じられた」,信仰深い、勇敢,19歳で火あぶりの刑。後に聖人に,信念の人,社会活動家、信念系インフルエンサー,歴史好き・信仰深い・勇敢,74,「信じる心が奇跡を起こす」,神の声を聞き、鉄の鎧をまとい、フランスを照らした少女。しかし、その光は瞬く間に消え去った。,百年戦争のさなか、農村出身の彼女は、フランス軍を率いて数々の勝利を収め、オルレアンを解放した。,火刑に処された悲劇のヒロイン。フランスを救った聖女として知られ、後の時代に名誉回復された。
62,マルティン・ルター,Martin Luther,1483,1546,近世,ドイツ,男性,宗教改革者,宗教改革を起こした,カトリック教会に反旗を翻した,「ここに私は立つ」,頑固、革命的,95ヶ条の論題を教会の扉に貼った,宗教改革者,宗教家、改革者,宗教好き・歴史好き・革命的,70,「間違ってることには反対する」,「雷に打たれるか、神学者になるか」究極の選択が、ヨーロッパを揺るがす大事件の幕開けとなった。,魂の救済を求め、聖書と向き合った結果、免罪符に異議を唱え、教会のあり方に一石を投じた。,95ヶ条の論題を発表し、宗教改革の口火を切った、ドイツの宗教家。
63,コペルニクス,Nicolaus Copernicus,1473,1543,近世,ポーランド,男性,天文学者,地動説を唱えた,天動説を覆す革命的理論,「地球は動いている」,慎重、革命的,死の直前まで発表をためらった,科学革命の先駆者,天文学者、科学者,理系・天文好き・革命的,76,「常識を疑う勇気」,ルネサンスの夜空に、世界の中心を疑う光が灯った。それは、長きに渡る人々の宇宙観を根底から覆す、禁断の仮説。,聖職者の顔を持つ彼は、観測と数式を武器に、天球の秩序に異議を唱えた。その大胆な理論は、後世の科学革命の幕開けとなる。,地球は動いている！太陽を中心とした宇宙の姿を提唱し、天文学の歴史を塗り替えた人物。彼の名は、地動説とともに語り継がれる。
64,ガリレオ,Galileo Galilei,1564,1642,近世,イタリア,男性,天文学者,望遠鏡で天体観測,地動説を支持し宗教裁判にかけられた,「それでも地球は回っている」,頑固、科学的,宗教裁判で有罪になるも信念を曲げず,真理を追求する科学者,科学者、科学コミュニケーター,理系・天文好き・頑固者,78,「真実は曲げられない」,地動説を唱え、教会と対立したことで知られる。天空の動きを注視し、新たな宇宙観を提示した。,自作の道具で星々を観測し、木星の衛星を発見。その発見は、天動説を揺るがす証拠となった。,望遠鏡を改良し、天体観測を行ったイタリアの科学者。地球は太陽の周りを回ると主張した。
65,ニュートン,Isaac Newton,1643,1727,近世,イギリス,男性,科学者,万有引力の法則を発見,近代科学の基礎を築いた,「巨人の肩の上に立つ」,孤独、天才,リンゴが落ちるのを見て引力を発見した逸話,科学革命の巨人,物理学者、科学者,理系・物理好き・天才肌,89,「自然の法則を解き明かす」,リンゴは落ちた。そして、世界の見方もまた、大きく変わった。光と色のプリズムの向こうに、普遍的な力が潜む。,微積分を操り、光のスペクトルを解き明かす。自然という名の書物を、数式という言語で読み解いた。,万有引力の法則を発見し、天体の運行を説明した。プリンキピアは、科学史における金字塔。
66,バッハ,Johann Sebastian Bach,1685,1750,バロック,ドイツ,男性,作曲家,「マタイ受難曲」など教会音楽の巨匠,音楽の父と呼ばれる,「音楽は神への捧げもの」,敬虔、多作,20人の子供がいた。生前はオルガン奏者として有名,クラシック音楽の基礎,作曲家、音楽プロデューサー,音楽好き・宗教的・古典好き,73,「音楽で神に仕える」,鍵盤の魔術師、神への献身、そして複雑な対位法。彼の音楽は、バロックの華麗なる迷宮への招待状。,教会を舞台に、数々の声と楽器が織りなす壮大な物語を紡いだ作曲家。その作品は、今もなお人々の心を揺さぶる。,「マタイ受難曲」や「平均律クラヴィーア曲集」など、後世の音楽家たちに多大な影響を与えたバロック音楽の巨匠。
67,ワシントン,George Washington,1732,1799,近代,アメリカ,男性,政治家,アメリカ初代大統領,独立戦争を勝利に導いた,「正直は最良の政策」,誠実、リーダーシップ,桜の木の逸話は創作。入れ歯は木製ではなく象牙,建国の父,政治家、軍人,政治好き・歴史好き・誠実な人,80,「国を作った男」,独立の暁に、彼はその舵取りを託された。大陸の父と呼ばれる。,大陸軍を率い、苦難の末に自由を勝ち取った。後にその指導力は、新生国家を導く。,アメリカ合衆国初代大統領。彼は、その名が首都に冠されるほど、建国に尽力した。
68,ジェファーソン,Thomas Jefferson,1743,1826,近代,アメリカ,男性,政治家,独立宣言を起草,アメリカ第3代大統領,「すべての人は平等に造られている」,知的、理想主義,建築家でもあり発明家でもあった,理想主義的政治家,政治家、思想家,政治好き・理想主義・知的,71,「自由と平等の国を作る」,啓蒙思想の光がアメリカ大陸を照らし、自由の鐘を鳴らそうとした時代、彼はその精神を体現した。,弁護士から政治の世界へ。言葉を武器に、彼は国家の基礎となる理念を紡ぎ出した。,我々は、これらの真理は自明であると信じる... この言葉を書いたのは誰？
69,ナイチンゲール,Florence Nightingale,1820,1910,近代,イギリス,女性,看護師,近代看護教育の母,クリミア戦争で「白衣の天使」として活躍,「天使とは、美しい花を振りまく者ではなく」,献身的、統計的,実は統計学の専門家。データで医療改革を推進,医療改革者,看護師、医療系インフルエンサー,医療好き・献身的・データ好き,77,「看護は科学」,クリミアの暗い夜に、ランプの光が希望を灯した。統計は、彼女にとって雄弁な武器だった。,戦場の天使と呼ばれ、医療衛生の改革に尽力した女性。その情熱は、後の女性の社会進出にも影響を与えた。,近代看護の基礎を築き、看護教育の改革に貢献。「クリミアの天使」として知られる。
70,ダーウィン,Charles Darwin,1809,1882,近代,イギリス,男性,自然科学者,進化論を提唱,「種の起源」で生物学に革命,「生き残るのは強い者ではなく適応できる者」,慎重、観察眼鋭い,ビーグル号で世界一周。発表まで20年以上かかった,進化論の提唱者,生物学者、研究者,理系・生物好き・観察好き,84,「適者生存」,世界を旅し、ガラパゴスの地で思索を深めた。観察から生まれた理論は、人々の世界観を根底から揺るがすこととなる。,生物多様性に魅せられた博物学者。種の変化を研究し、自然淘汰という考え方を提唱した。,進化論を唱え、生物は共通の祖先から枝分かれしてきたと主張した人物。著書『種の起源』はあまりにも有名。
71,マルクス,Karl Marx,1818,1883,近代,ドイツ,男性,思想家,「資本論」で資本主義を批判,共産主義の理論的基礎を築いた,「万国の労働者よ、団結せよ」,革命的、理論家,貧乏で友人に援助してもらいながら執筆,革命思想家,思想家、社会批評家,政治好き・歴史好き・革命的,76,「労働者の権利を守れ」,社会の矛盾を鋭く見抜き、変革の炎を灯した、19世紀の革命の父。,資本主義の構造を分析し、労働者の解放を訴えた経済思想家。,「資本論」を著し、社会主義思想に大きな影響を与えたドイツの哲学者。
72,ニーチェ,Friedrich Nietzsche,1844,1900,近代,ドイツ,男性,哲学者,「神は死んだ」と宣言,既成の価値観を破壊した,「超人になれ」,孤独、病弱,精神を病んで晩年は廃人状態,過激な哲学者,哲学者、思想家,哲学好き・過激派・孤独好き,75,「既成概念をぶっ壊す」,19世紀の終わりに、既成概念を打ち砕こうとした、眉目秀麗な思想家。永劫回帰という考えに囚われ、高地シルス・マリアを愛した。,ハンマーで偶像を破壊し、超人（Übermensch）の到来を予言した。道徳の系譜を辿り、権力への意志を説いた。,"""神は死んだ""という言葉で、近代社会の価値観の崩壊を宣言した哲学者。ツァラトゥストラはかく語りき。"
73,フロイト,Sigmund Freud,1856,1939,近代,オーストリア,男性,精神分析学者,無意識の発見,精神分析学の創始者,「夢は無意識への王道」,理論的、葉巻好き,1日20本の葉巻を吸っていた,精神分析の創始者,心理学者、セラピスト,心理学好き・理論好き・分析好き,79,「心の闇を解き明かす」,夢は心の奥底への王道なり。ウィーンのカフェで語られる、神経症の物語。,自由連想法とイド、自我、超自我。心の構造を探求した、精神の探検家。,無意識の概念を提唱し、精神分析学の創始者として知られる人物。
74,ゴッホ,Vincent van Gogh,1853,1890,近代,オランダ,男性,画家,「ひまわり」「星月夜」を描いた,生前は売れず死後に評価,「私は夢を見る。そして私は夢を描く」,情熱的、精神不安定,生前に売れた絵は1枚だけ。耳を切り落とした,不遇の天才画家,画家、孤高のアーティスト,アート好き・情熱的・不遇の人,87,「理解されなくても描き続ける」,燃えるような色彩と内なる葛藤が、キャンバスに永遠の輝きを刻んだ。その筆致は、狂気と才能の境界線を揺さぶる。,後期印象派を代表する一人。短い生涯の中で、数々の鮮烈な風景や人物を描き、後世の芸術家たちに多大な影響を与えた。,『ひまわり』や『星月夜』といった作品で知られるオランダ出身の画家。その作品は死後、世界中で高く評価されるようになった。
75,モネ,Claude Monet,1840,1926,近代,フランス,男性,画家,印象派の創始者,「睡蓮」などで光の表現を追求,「私は光を描く」,穏やか、自然好き,晩年は白内障に苦しみながらも制作を続けた,印象派の巨匠,画家、自然系アーティスト,アート好き・自然好き・穏やか,81,「瞬間の光を捉える」,光と影の戯れを追い求め、刻々と変わる瞬間を永遠に留めようとした。その筆致は、従来の絵画の常識を覆した。,庭園を愛し、睡蓮を描き続けたことで知られる。彼は、印象派という新しい絵画の潮流を創り出した中心人物。,『印象、日の出』という作品で、美術史に名を刻んだフランスの画家。光の表現を追求し、印象派の創始者として知られる。
76,エジソン,Thomas Edison,1847,1931,近代,アメリカ,男性,発明家,電球・蓄音機など発明,1000以上の特許を取得,「天才は1%のひらめきと99%の努力」,努力家、商才あり,実際は「努力」より「ひらめき」を重視していた説,発明王,発明家、起業家,理系・発明好き・起業家,88,「失敗は成功への道」,暗闇を照らす光を追い求め、人々の生活に革命をもたらした。そのアイデアは、世界を新たな音で満たした。,実験を繰り返し、数々の道具を生み出した発明家。特に、光と音に関する分野で大きな功績を残した。,白熱電球を改良し、実用的なものにした。また、音を記録・再生する装置を発明したことでも知られている。
77,ベル,Alexander Graham Bell,1847,1922,近代,アメリカ,男性,発明家,電話を発明,コミュニケーション革命を起こした,「準備こそが成功の鍵」,研究熱心、教育者,母と妻が聴覚障害者だった,通信革命の先駆者,発明家、通信系起業家,理系・発明好き・コミュニケーション好き,76,「世界を繋ぐ」,「もしもし」が世界を変えた。声が光よりも速く、遠くの人に届く時代を夢見た男。,聴覚に障がいを持つ人々のために研究を重ね、やがて音を電気信号に変える装置を作り上げた。,1876年、世界で初めての通話に成功。電話の発明者として歴史に名を刻んだ。
78,ライト兄弟,Wright Brothers,1871,1948,近代,アメリカ,男性,発明家,人類初の動力飛行に成功,航空時代の幕開け,「不可能を可能に」,協力的、技術者,自転車屋から飛行機開発へ。兄弟で協力,航空の開拓者,発明家、エンジニア,理系・飛行機好き・兄弟愛,77,「空を飛ぶ夢を叶える」,空への憧憬と機械への情熱が、重力という長年の壁に挑んだ時代の物語。,自転車屋から始まった兄弟の挑戦は、鳥のように空を舞う夢を実現させた。,1903年、ノースカロライナの砂丘で、人類初の動力飛行を成功させた。
79,ヘレン・ケラー,Helen Keller,1880,1968,現代,アメリカ,女性,社会活動家,三重苦を克服し教育者に,視覚・聴覚・言語障害を克服,「人生は大胆な冒険か、無か」,不屈、前向き,サリバン先生との関係が有名,障害者の希望,社会活動家、教育者,福祉好き・教育好き・不屈の精神,83,「どんな障害も乗り越えられる」,沈黙と闇の中から、言葉と光を世界に届けた。,障害を抱えながらも、教育の力で人々に勇気を与えた。,三重苦を克服し、社会福祉に貢献したアメリカの教育者。
80,チャーチル,Winston Churchill,1874,1965,現代,イギリス,男性,政治家,第二次大戦でイギリスを勝利に導いた,「決して屈するな」の精神,「決して、決して、決して諦めるな」,頑固、ユーモア好き,うつ病に苦しんだ。葉巻とウイスキーが大好き,不屈のリーダー,政治家、危機管理の専門家,政治好き・歴史好き・不屈の精神,82,「絶対に諦めない」,「鉄のカーテン」という言葉で、冷戦時代の幕開けを象徴した雄弁家。その獅子のような咆哮は、国を鼓舞し続けた。,第二次世界大戦中、不屈の精神でイギリスを率いた、政治と文筆の両刀使い。葉巻と強い言葉がトレードマーク。,「我々にできるのは、血と労苦と涙と汗を提供することだけだ」という演説で、国民を奮い立たせた首相。
81,ルーズベルト,Franklin D. Roosevelt,1882,1945,現代,アメリカ,男性,政治家,ニューディール政策で恐慌を克服,4選された唯一の大統領,「恐れるべきは恐怖そのもの」,楽観的、リーダーシップ,ポリオで下半身不随も車椅子を隠して政治活動,危機のリーダー,政治家、経済政策の専門家,政治好き・経済好き・楽観的,78,「恐怖に負けない」,世界恐慌という暗雲を払い、希望の灯を灯した、20世紀のアメリカを象徴する名前。ラジオから響く声に、多くの人々が明日を見た。,政治という舞台で、大胆な政策を打ち出し、苦境に喘ぐ人々を救済した。その手腕は、後世の社会福祉政策にも大きな影響を与えた。,ニューディール政策を推進し、世界恐慌からの脱却を目指したアメリカ合衆国大統領。車椅子のシルエットは、不屈の精神の象徴。
82,レーニン,Vladimir Lenin,1870,1924,現代,ロシア,男性,革命家,ロシア革命を成功させた,世界初の社会主義国家を樹立,「革命なくして変革なし」,理論家、冷徹,死後遺体が保存され今も公開されている,革命のリーダー,革命家、政治家,政治好き・歴史好き・革命的,74,「革命で世界を変える」,帝政ロシアに終止符を打ち、世界初の社会主義国家建設に尽力した。彼の思想は、20世紀の世界を大きく揺さぶる原動力となった。,プロレタリアート独裁を唱え、革命運動を組織した扇動家。亡命生活を経て、祖国へと舞い戻り権力を掌握。,十月革命を指導し、ソビエト連邦の初代指導者となった人物。「土地を農民に、工場を労働者に」のスローガンは有名。
83,スターリン,Joseph Stalin,1878,1953,現代,ソ連,男性,独裁者,ソ連を大国にするも大粛清,恐怖政治で知られる独裁者,「一人の死は悲劇、百万人の死は統計」,冷酷、猜疑心強い,本名ではなく「鋼鉄の人」という意味のペンネーム,冷酷な独裁者,独裁者、恐怖政治,歴史好き・政治好き・暗い面の歴史,69,「恐怖で支配する」,鉄のカーテンの向こうで、一人の男が冷たい視線を世界に投げかけた。彼の言葉は、同志への賛辞か、あるいはシベリアへの切符か。,農業の集団化を進め、工業力を飛躍的に向上させた指導者。しかし、その裏には数百万の犠牲者が。,第二次世界大戦でナチス・ドイツを破り、ソ連を大国へと押し上げた。その一方で、恐怖政治による大粛清を行った。
84,ヒトラー,Adolf Hitler,1889,1945,現代,ドイツ,男性,独裁者,ナチス・ドイツの総統,第二次大戦を引き起こし大量虐殺,「嘘も百回言えば真実になる」,カリスマ、狂信的,元は画家志望だった。ベジタリアンで犬好き,史上最悪の独裁者,独裁者、プロパガンダの達人,歴史好き・暗い歴史の学習,72,「歴史の教訓として学ぶべき存在」,世界を灰燼に帰す野望を抱き、扇動的な演説で大衆を魅了した、20世紀の悪夢。,全体主義を掲げ、国家を掌握。第二次世界大戦を引き起こし、ホロコーストを主導した。,ナチス・ドイツの総統として、ヨーロッパを席巻。最終的には自殺を遂げた独裁者。
85,マンデラ,Nelson Mandela,1918,2013,現代,南アフリカ,男性,政治家,アパルトヘイト撤廃,27年間投獄されるも和解を実現,「教育は世界を変える最強の武器」,辛抱強い、寛容,刑務所で法律の勉強を続けた。看守とも友達に,許しのリーダー,政治家、人権活動家,正義感強い・忍耐力・寛容,90,「許すことが最強の復讐」,虹の国の架け橋とならんとした、不屈の精神の持ち主。長き夜を越え、希望の光を灯した。,人種隔離政策という壁に立ち向かい、正義と平等のために声を上げた。投獄、そして解放。,南アフリカ共和国においてアパルトヘイト撤廃に尽力し、ノーベル平和賞を受賞した政治家。
